Name1,Sname1,Desc1
Alfalfa,Medicago sativa,"A flowering plant in the pea family, Alfalfa is nutritious and may be used for a variety of benefits including; treatment for alcoholism and drug dependency.
It has deep roots and can grow quite tall making it very resilient. The leaves and young shoots are the only parts that you can eat raw."
Asparagus,Asparagus,"Asparagus, easily identified by its fleshy green spears which are luscious and delicate, can be eaten raw as opposed to boiled. It is a good source of vitamin C and potassium.

Be mindful of wild Asparagus which has a thinner stalk than those usually found in grocery-stores.

Harvest length of these plants are usually 6-8 inches."
Blue Vervain,Verbena hastata,"You should refrain from this plant if you are on blood pressure medication or involved with hormonal therapy. It is mostly found in moist conditions with full to partial sun. Places it is commonly found include: moist meadows, riversides and pastures. You can eat its leaves and flowers raw but the seeds must be roasted."
Broadleaf Plantain,Plantago major,"A species of the plantain family, Broadleaf Plantain is rich in vitamins A, C and K. The leaves are green and oval-shaped with thick-stemmed leaves that meet at a base.
The entire plant is edible but it recommended that the leaves be eaten raw while they are young and tender."
Bull Thistle,Cirsium vulgare,"You can identify this plant by its firm and thorny stem and leaves that end in sharp, extended thorns. This plant looks like one should be skeptical to touch, let alone eat it.
However, the Bull Thistle root as well as its young leaves are edible. The prickles must be removed from the leaves before consumption!"
Cattail,Typha augustifolia,"Easily recognizable by its brown, cigar-shaped head, you can find the cattail in open wet areas as well as swamps and ditches. Most of the cattail is edible. You can eat the young stems raw, along with the rootstock of the plant after the mud is washed off. The leaves are better off boiled."
Chickweed,Stellaria media,"This plant, knows scientifically as “Stellaria media”, can be used as a cooling herbal remedy and a safe, nutritious edible.
Chickweeds can be identified by fine hairs located on only one side of its stem in a single band and fine hairs on its sepals. A prime salad ingredient if you were to ask me!"
Chicory,Cichorium Intybus,"If I were to make a decision solely based on appearance, I wouldn’t hesitate to snack on this beautiful plant!
This member of the Dandelion family is a bushy plant with typically bright blue flowers. The leaves of this plant can be eaten raw, along with the flowers but the roots aren’t edible unless they are boiled."
Cleavers,Galium aparine,"An annual plant with small hooked hairs growing out of their leaves and stems. It is also known as “stickyweed”, “sticky willow”, or “sticky jack”.
With nicknames like these, you were right to assume that the plant is of a sticky texture, as they are indeed. You can this plant raw, however, its small hooked hairs will make it much less appetizing."
Coltsfoot,Tussilago farfara,"Another member of the daisy family, this plant has bright yellow flowers that bloom early in the spring before any leaves are even present.
Being sceptical of eating anything with the word “foot” in the title, I would probably hesitate before consuming this plant. However, its flowers can be eaten raw as well as its leaves in small quantities."
