Name2,AName2,sowIntruct2,spaceIntruct2,harvestIntruct2,compatiblePlants2,avoidIntruct2,culinaryHints2,culinaryPreservation2
Amaranth,Love-lies-bleeding,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 20 inches apart,Harvest in 7-8 weeks.,"Compatible with (can grow beside): Onions, corn, peppers, egg plant, tomatoes",,Both leaves and seeds can be used. Excessive intake is not recommended.,
Angelica,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 18 inches apart,"Harvest in approximately 18 months. Angelica archangelica has slightly dull leaves, not shiny..","Compatible with (can grow beside): Any herbs that like damp, shady areas - mint, lemon balm",,The stems can be candied and used to decorate cakes and pastries. Pick the stems in the second year.,
Artichokes,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 64°F. (Show °C/cm),Space plants: 63 - 79 inches apart,Harvest in 42-57 weeks.,Compatible with (can grow beside): Needs a lot of space. Best in separate bed,,"Pick buds before scales develop brown tips. If you have lots of small buds, they can be fried in olive oil and eaten whole. Rinse in plenty of cold water to remove earwigs or other insects.",
Asparagus,,Easy to grow. Plant as crowns. Best planted at soil temperatures between 61°F and 86°F. (Show °C/cm),Space plants: 8 - 16 inches apart,Harvest in 2-3 years. Plant 'crowns' to harvest earlier .,"Compatible with (can grow beside): Parsley, Basil, Nasturtiums, Lettuce","Avoid growing close to: Garlic, Onions, and root vegetables","Steaming is traditional, then coating with melted butter or hollandaise sauce. Alternatively break in short lengths, and cook quickly in hot oil in a wok and sprinkle with soy sauce or balsamic vinegar. NOTE: The asparagus berries are poisonous. Only the young shoots are edible.",
Asparagus Pea,Winged bean,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 68°F. (Show °C/cm),Space plants: 8 - 10 inches apart,"Harvest in 8-11 weeks. Pick early, pick often.",Compatible with (can grow beside): Best grown in separate bed,,Cook quickly by steaming and serve with just a touch of butter and they are said to taste like their namesake .,
Basil,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 95°F. (Show °C/cm)",Space plants: 8 - 10 inches apart,Harvest in 10-12 weeks. Pick before flowering.,Compatible with (can grow beside): Tomato,,"Basil is commonly used fresh in cooked recipes. It is generally added at the last moment, as cooking quickly destroys the flavour. Tear rather than chop. The fresh herb can be kept for a short time in plastic bags in the refrigerator, or for a longer period in the freezer, after being blanched quickly in boiling water.",
Beetroot,Beets,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Onions, Silverbeet (Swiss Chard), Lettuce, Cabbage, Dwarf Beans, Dill, Peas. Strawberries","Avoid growing close to: Asparagus, Carrots, Sweetcorn, Spinach","Apart from boiling whole for salads, beetroot roast well, cut in wedges. They also make a tasty salad grated raw with carrot and a little fresh orange juice.",
Borage,"Burrage, Bugloss",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 8 inches apart,"Harvest in 8-10 weeks. Use leaves before flowers appear, otherwise they will be 'hairy'. .","Compatible with (can grow beside): Strawberry, tomatoes, zucchini/squash. Deters pests from many plants.",,Has a slight cucumber taste which goes well in salads and when cooked with silver beet or cabbage. The flowers make a pretty drink decoration when frozen in an iceblock.,
Broad beans,Fava bean,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43°F and 75°F. (Show °C/cm),Space plants: 6 - 10 inches apart,Harvest in 12-22 weeks. Pick frequently to encourage more pods.,"Compatible with (can grow beside): Dill, Potatoes",,The fresh beans are eaten steamed or boiled. As the beans mature it is better to remove their tough outer skins after cooking. The leafy top shoots of the adult plants can be picked and steamed after flowering. Small beans can be eaten whole in the pods.,Will freeze well. Remove from pods and blanch.
Broccoli,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 86°F. (Show °C/cm)",Space plants: 14 - 20 inches apart,Harvest in 10-16 weeks. Cut flowerhead off with a knife..,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, oregano)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard","The stem (peeled), leaves, and flowerhead are all edible. Steam for best flavour. Peel large stalks, slice and steam. Goes well with blue cheese sauce.",
