Name,FTName,Soil,DescGrowSeason,CultivationGroup_RotationInfo,SunReq,TempClass,NutrientReq,PreferrPH,GenDesc,Sensitivities,WaterReq,PlantReq,OptGermTemp,DaysToGerm,PlantIdealTemp,LengthGorwingToHarvest,DiseaseMang,EnergyValue100gKcal,NutritInfo,PestsPathogens
Pea,Pisum sativum,Loamy,Annual,Legume,Full sun,Half hardy,Medium,6.0-7.5,"The pea is the small spherical seed, or the seed-pod. Peas come in two varieties: shelling, and mangetout.",Drought intolerant,Very High,"Require a sunny, nutrient-rich, moisture-retentive site.",24,6,4-24,55-75,Currently no data available.,80,"A good source of vitamin K, manganese, and dietary fibre.",Currently no data available.
Beans,Phaseolus coccineus,Loamy and clay,Annual,Legume,Full sun,Tender,Medium,6.0-6.8,"Runner bean plants are more productive than green bean plants. The rough, flat, green pods need to be destrung and cut into smaller pieces before cooking.",Drought intolerant,Medium,"Beans are a tender, warm-weather crop. They are perfectly suited to a sunny, and well-drained spot away from strong winds. They enjoy moist, and fertile soil.",26,7,16-30,65-85,Currently no data available.,27,"A good source of protein, thiamine, and riboflavin.",Currently no data available.
Beans,Phaseolus vulgari,Any well-drained and fertile,Annual,Legume,Full sun,Tender,Medium,6.0-7.5,"French beans are the unripe fruit, and protective pods of various cultivars of the common bean.",Drought intolerant,Medium,"Beans are a tender, warm-weather crop. They are perfectly suited to a sunny, and well-drained spot away from strong winds. They enjoy moist, and fertile soil.",26,7,16-30,40-55,Currently no data available.,27,"A good source of protein, thiamine, and riboflavin.",Currently no data available.
Beans,Vicia faba,Any well-drained and fertile,Annual,Legume,Full sun/partial shade/full shade,Hardy,Medium,6.0-7.0,"Broad beans - also known as the fava bean - are large, broad pods with flat, edible seeds. The shells are not eaten.",Drought intolerant,Very Low,"Broad beans are a cool weather crop. They grow best in a sunny, and well drained spot away from strong winds. They enjoy moist, and fertile soil.",10,7,8-15,85-115,Currently no data available.,88,"A good source of vitamin-B6 (pyridoxine), thiamine (vitamin B-1), and riboflavin.",Currently no data available.
Cabbage,Brassica oleracea,Sand/loam/clay,biennial,Legume,Full sun,Hardy,High,6.0-7.5,"Cabbages are a leafy green or purple biennial plant. They are grown as an annual vegetable crop for their dense-leaved heads. These can be eaten raw in salads, or cooked.",Particularly vulnerable to pests. Do not grow if soil is too acidic.,High,"Cabbage is a cool-season crop best planted in early spring or mid to late summer. They grow best in partial-shade, in firm, fertile, and free-draining soil.",26,4,7-30,55-85,Currently no data available.,25,"A very good source of manganese, dietary fibre, potassium, vitamin B1, folate and copper.",Currently no data available.
Broccoli,Brassica oleracea  (Italica group),Loamy and sandy,Currently no data available.,Brassica,Full sun/partial shade,Half hardy,High,6.0-7.5,"Broccoli is a member of the cabbage family. The broccoli is the green or purple flowering head.  It is normally cooked, but can be eaten raw.",A cool weather crop best not grown over hot summer months.  Broccoli are temperature sensitive with an ideal temperature range of 18 to 26 °C.,Medium,"Broccoli grow best in partial-shade, in firm, fertile, and free-draining soil. Avoid shallow, sandy soils, and exposed sites.",30,4,7-30,55-85,Currently no data available.,34,"A good source of vitamin C, folate, dietary fibre, and potassium.",Currently no data available.
Brussels Sprouts,Brassica oleracea (Gemmifera group),Loamy,biennial,Brassica,Full sun,Hardy,High,6.0-7.5,Brussels sprouts are a member of the cabbage family. They are grown for their edible buds. The leafy green vegetables look like miniature cabbages.,Affected by a wide range of pests and diseases. Drought intolerant.,Medium,"Brussels sprouts are a cool-season crop. They grow best in partial-shade, in firm, fertile, and free-draining soil. Avoid shallow, sandy soils, and exposed sites.",26,4,7-30,180-,Currently no data available.,35,"A good source of dietary fibre, vitamin c, and folate.",Currently no data available.
Cauliflower,Brassica oleracea (Botrytis group),Any well-drained and fertile,Currently no data available.,Brassica,Full sun,Hardy,High,5.5-7.5,"Cauliflower is a variety of common cabbage in which flowers have begun to form, but have stopped growing at the bud stage. Cauliflower is usually cooked, but can be eaten raw.",Sensitive to temperatures over 25 °C.,Medium,"Cauliflower grow best in partial-shade, in firm, fertile, and free-draining soil. They enjoy deep, humus rich soil, with a good supply of water and high humidity.",26,5,15-20,55-110,Currently no data available.,31,"A good source of vitamin C, vitamin K, and folate.",Currently no data available.
Kale,Brassica oleracea (Acephala group), Loamy,"biennial, grown as annual",Brassica,Full sun,Very hardy,High,6.0-7.5,"Kale is a variety of the common cabbage, however it is considered closer to the wild cabbage. Kale is one of the strongest and most disease resistant vegetables. It can have green or purple leaves.",Heat intolerant,Low,Kale tolerates cold weather better than most other brassicas and is relatively free of pests and diseases.  It can be treated as a cut-and-come-again crop.,26,4,15-20,65-75,Currently no data available.,50,"A good source of vitamin A, vitamin C, calcium, and potassium.",Currently no data available.
Turnip,Brassica rapa (Rapa group),Loamy,"biennial, grown as annual",Brassica,Full sun/partial shade,Very hardy,Medium,5.5-7.5,Turnip is a root vegetable with white flesh.  That can be eaten cooked or raw.,A cool weather crop best not grown over hot summer months.,Medium,"Turnips grow best in cool, moisture retentive soils and should be kept well watered or the roots will be small and woody.   They are biennials usually grown as annuals.",30,3,5-24,45-70,Currently no data available.,0,Currently no data available.,Currently no data available.
