Name4,SName4,Family4,Genus4,Species4,Native4,Naturalized4,CoC4,Endemic4,Persisting4,Category4,Habitat4,GrowthHabit4,Duration4,Status_State4,Status_US4,Scientific_Name_With_Authors,Species_Author,Infraspecies,Infraspecies_Author
velvetleaf,Abutilon theophrasti,Malvaceae,Abutilon,theophrasti,N,Y,,N,Y,Vascular,Cultivated ground. roadsides. and disturbed soils. Sometimes a major weed in cultivated ground.,Forb/herb,Annual,,,Abutilon theophrasti Medik.,Medik.,,
common three-seeded Mercury,Acalypha rhomboidea,Euphorbiaceae,Acalypha,rhomboidea,Y,,0,N,Y,Vascular,Open forests and woodlands. shores of streams. cultivated ground. disturbed soils. and waste places. Mostly occurring in habitats with open dry to mesic disturbed soils.,Herbaceous,,,,Acalypha rhomboidea Raf.,Raf.,,
Virginia three-seeded Mercury,Acalypha virginica,Euphorbiaceae,Acalypha,virginica,Y,,10,N,Y,Vascular,,Herbaceous,Perennial,Endangered-State,,Acalypha virginica L.,L.,,
hedge maple,Acer campestre,Sapindaceae,Acer,campestre,N,Y,,N,Y,Vascular,,Tree. Shrub,Perennial,,,Acer campestre L.,L.,,
box elder. ash-leaved maple,Acer negundo var. negundo,Sapindaceae,Acer,negundo,Y,,1,N,Y,Vascular,A weedy tree originally native and rare in south central New York now widespread having spread from cultivation. Floodplain forests. banks of rivers. weedy successional forests. disturbed areas. and urban areas.,Tree,Perennial,,,Acer negundo L. var. negundo,L.,var. negundo,
black maple,Acer nigrum,Sapindaceae,Acer,nigrum,Y,,8,N,Y,Vascular,Mostly restricted to calcareous or rich soils.  Floodplain forests. rich mesic forests. and limestone forests.,Tree,Perennial,,,Acer nigrum F. Michx.,F. Michx.,,
striped maple,Acer pensylvanicum,Sapindaceae,Acer,pensylvanicum,Y,,7,N,Y,Vascular,A small understory tree that does well in cool microclimates.  Forests with a northern affinity. slopes in ravines. and rocky forests.,Tree,Perennial,,,Acer pensylvanicum L.,L.,,
Norway maple,Acer platanoides,Sapindaceae,Acer,platanoides,N,Y,,N,Y,Vascular,An aggressive non-native. this species is able to germinate and grow under a full canopy.  It is widely planted as a street tree and naturalizes readily.  Weedy disturbed forests. rich mesic forests.,Tree,Perennial,,,Acer platanoides L.,L.,,
Freeman s maple,Acer rubrum  x A. saccharinum = A.  xfreemanii,Sapindaceae,Acer,rubrum x A. saccharinum = A. xfreemanii,Y,,,N,Y,Vascular,This hybrid can be a dominant tree in floodplain and low swamp forests. as well as scattered in various peatlands.,Tree,Perennial,,,Acer rubrum  x A. saccharinum = A.  xfreemanii A.E. Murray,A.E. Murray,,
common red maple,Acer rubrum var. rubrum,Sapindaceae,Acer,rubrum,Y,,4,N,Y,Vascular,Occurs in a wide variety of habitats and soil types.  Wet swamps to dry forests and young successional habitats this is a very wide spread and common tree.,Tree,Perennial,,,Acer rubrum L. var. rubrum,L.,var. rubrum,
silver maple,Acer saccharinum,Sapindaceae,Acer,saccharinum,Y,,6,N,Y,Vascular,Floodplain forests and banks of larger streams and rivers.  This species is also widely cultivated.,Tree,Perennial,,,Acer saccharinum L.,L.,,
sugar maple,Acer saccharum,Sapindaceae,Acer,saccharum,Y,,7,N,Y,Vascular,A widespread and common large tree.  It is a little picky about its habitat preferences.  In northern or cool habitats it grows with other hardwoods notably beech and yellow birch as well as hemlock.  The soils are at least slightly deep or rich.  In more southern areas it does well at the toe of the slope in deep rich soils.  It also occurs in thin soils over limestone.,Tree,Perennial,,,Acer saccharum Marshall,Marshall,,
mountain maple,Acer spicatum,Sapindaceae,Acer,spicatum,Y,,8,N,Y,Vascular,A small understory tree of northern or cool habitats.  Ravine slopes. cool swamps. northern hardwood. and mixed hardwood forests.,Tree,Perennial,,,Acer spicatum Lam.,Lam.,,
common yarrow,Achillea millefolium,Asteraceae,Achillea,millefolium,Y,,0,N,Y,Vascular,Fields. waste places. disturbed areas. and rocky open areas.,Forb/herb,Perennial,,,Achillea millefolium L.,L.,,
American sweetflag,Acorus americanus,Acoraceae,Acorus,americanus,Y,,5,N,Y,Vascular,,Forb/herb,Perennial,,,Acorus americanus (Raf.) Raf.,(Raf.) Raf.,,
old world sweetflag,Acorus calamus,Acoraceae,Acorus,calamus,N,Y,,N,Y,Vascular,Marshes. wet depressions. and occasionally swamps usually without much of a canopy.  It can form fairly dense stands and likes standing water.,Forb/herb,Perennial,,,Acorus calamus L.,L.,,
white baneberry. doll s eyes,Actaea pachypoda,Ranunculaceae,Actaea,pachypoda,Y,,7,N,Y,Vascular,Rich mesic forests. Often in slightly richer sites than Actaea rubra.,Forb/herb,Perennial,,,Actaea pachypoda Elliott,Elliott,,
Louis s baneberry,Actaea pachypoda  x A. rubra = A.  xludovici,Ranunculaceae,Actaea,pachypoda x A. rubra = A. xludovici,Y,,,N,Y,Vascular,,Forb/herb,Perennial,,,Actaea pachypoda  x A. rubra = A.  xludovici B. Boivin,B. Boivin,,
black cohosh. black snakeroot. bugbane,Actaea racemosa,Ranunculaceae,Actaea,racemosa,Y,,7,N,Y,Vascular,Mesic to dry-mesic hardwood forests and forest edges. vegetated roadsides and paths often in calcareous soils.,Forb/herb,Perennial,,,Actaea racemosa L.,L.,,
