Name5,FoodStoreCat5,LatinName5,HardinessUSDA,EdibilityRating5,MedicinalRating5,OtherUsesRating5
Indian Abelia,Other,Abelia triflora,5-9,0,0,1
Okra,Vegetables,Abelmoschus esculentus,5-11,4,3,2
Silver Fir. Christmas Tree Fir. European Silver Fir. Silver,Other,Abies alba,5-8,2,3,4
Red Fir.Pacific silver fir,Other,Abies amabilis,4-8,1,2,
Balsam Fir,Other,Abies balsamea,3-6,3,5,
Grecian Fir,Other,Abies cephalonica,4-8,0,0,
Colorado Fir. White fir,Other,Abies concolor,3-7,0,2,
Momi Fir. Japanese Fir,Other,Abies firma,6-9,1,0,
She Balsam. Fraser fir. Southern Balsam Fir,Other,Abies fraseri,6-9,1,3,0
Grand Fir. Giant Fir. Lowland White Fir,Other,Abies grandis,4-7,2,2,
Nikko Fir,Other,Abies homolepis,5-6,0,0,
Subalpine Fir. Alpine Fir,Other,Abies lasiocarpa,4-7,2,2,
Californian Red Fir. Shasta red fir,Other,Abies magnifica,5-6,0,0,
Caucasian Fir. Christmas Tree Fir. Nordmann,Other,Abies nordmanniana,4-8,0,0,
West Himalayan Fir,Other,Abies pindrow,5-9,0,0,
Noble Fir,Other,Abies procera,4-6,0,1,
Sakhalin Fir,Other,Abies sachalinensis,5-7,0,0,
Himalayan Fir,Other,Abies spectabilis,5-6,0,2,
Flaky Fir,Other,Abies squamata,5-9,0,0,
Veitch Fir. Christmastree,Other,Abies veitchii,3-6,0,0,
Green Wattle,Other,Acacia decurrens,6-9,2,1,3
Pirri-Pirri Bur,Other,Acaenia anserinifolia,5-9,1,1,
Field Maple. Hedge maple,Other,Acer campestre,3-7,2,1,
Hornbeam Maple,Other,Acer carpinifolium,3-7,2,0,
Vine Maple,Other,Acer circinatum,6-9,2,1,
Hawthorn-Leaved Maple,Other,Acer crataegifolium,5-9,0,0,
Amur Maple,Other,Acer ginnala,5-9,1,0,3
Rock Maple. Rocky Mountain maple. Douglas maple. Greene's maple. New Mexico maple. Torrey maple,Other,Acer glabrum,4-8,2,1,
Oregon Maple. Bigleaf maple. Oregon Maple,Other,Acer macrophyllum,5-9,3,1,
Maple,Other,Acer mono,4-8,2,1,
Box Elder,Other,Acer negundo,4-7,3,1,3
Japanese Maple,Other,Acer palmatum,6-9,2,0,
Maple,Other,Acer pectinatum,5-9,0,0,
Moosewood. Striped maple. Moosewood. Pennsylvania Maple,Other,Acer pensylvanicum,6-9,0,1,
Norway Maple. Harlequin Maple,Other,Acer platanoides,3-8,2,0,3
Sycamore. Great Maple. Scottish Maple. Planetree Maple,Other,Acer pseudoplatanus,3-8,2,1,4
Red Maple. Drummond's maple. Swamp Maple,Other,Acer rubrum,5-9,3,1,3
Silver Maple. River Maple. Soft Maple,Other,Acer saccharinum,3-8,3,1,4
Sugar Maple. Florida Maple. Hard Maple. Rock Maple,Other,Acer saccharum,3-8,4,2,4
Big-Tooth Maple. Canyon Maple. Rocky Mountain Sugar Maple,Other,Acer saccharum grandidentatum,6-9,4,0,
Black Maple,Other,Acer saccharum nigrum,6-8,4,1,2
Mountain Maple,Other,Acer spicatum,3-6,2,2,
Tatarian Maple,Other,Acer tataricum,3-7,2,0,
Shantung Maple. Purpleblow Maple,Other,Acer truncatum,3-7,1,0,
Mace. Sweet-nancy,Herbs,Achillea ageratum,4-7,2,0,
Musk Milfoil,Other,Achillea erba-rotta moschata,4-10,0,2,
Yarrow. Boreal yarrow. California yarrow. Giant yarrow. Coast yarrow. Western yarrow. Pacific yarrow,Herbs,Achillea millefolium,3-9,3,4,4
Sneeze-Wort. Sneezeweed,Other,Achillea ptarmica,4-8,2,1,2
Siberian Yarrow,Herbs,Achillea sibirica,5-8,1,1,
Alpine Calamint,Other,Acinos alpinus,4-6,1,1,
Basil Thyme,Herbs,Acinos arvensis,3-6,2,1,
Wild Spaniard,Other,Aciphylla colensoi,3-7,2,0,
Speargrass,Other,Aciphylla squarrosa,3-8,2,0,
Japanese Aconite. Carmichael's monkshood,Other,Aconitum carmichaelii,6-9,0,2,
Indian aconite,Other,Aconitum ferox,5-9,0,1,
Bei Wu Tou,Other,Aconitum kusnezoffii,4-8,0,1,
Wolfsbane,Other,Aconitum lycoctonum,3-9,1,1,
Wolfbane,Other,Aconitum lycoctonum vulparia,5-9,1,1,
Aconite. Venus' chariot. Wolfsbane Garden. Monk's Hood Garden,Other,Aconitum napellus,4-8,1,2,
Wild Monkshood. Southern blue monkshood,Other,Aconitum uncinatum,4-8,0,1,
Sweet Flag - Calamus,Other,Acorus calamus,4-8,3,4,
Grass-leaved Sweet Rush. Japanese Sweet Flag. Dwarf Sweet Flag,Other,Acorus gramineus,6-9,3,3,
White Baneberry,Fruit,Actaea pachypoda,4-8,0,2,
Red Baneberry,Fruit,Actaea rubra,3-7,0,2,
Herb Christopher. Baneberry,Herbs,Actaea spicata,5-9,0,1,
Tara Vine,Other,Actinidia arguta,5-9,5,0,2
Kiwi,Fruit,Actinidia chinensis,4-8,4,2,2
Kiwi Fruit,Fruit,Actinidia deliciosa,5-9,5,1,1
Kiwi,Fruit,Actinidia kolomikta,4-8,4,0,0
Red Kiwi,Fruit,Actinidia melanandra,5-9,4,0,
Silver Vine,Other,Actinidia polygama,3-7,4,2,
Purple hardy kiwi,Fruit,Actinidia purpurea,3-7,4,0,1
Ladybells. Lilyleaf,Other,Adenophora liliifolia,5-9,2,0,
Nan Sha Shen,Other,Adenophora triphylla,3-8,2,1,
Northern Maidenhair.American Maidenhair Fern,Other,Adiantum pedatum,5-9,0,2,2
Pheasant's Eye. Summer pheasant's eye,Other,Adonis aestivalis,5-9,0,1,
Pheasant's Eye. Spring pheasant's eye,Other,Adonis vernalis,5-9,0,3,
Ground Elder. Bishop's goutweed. Goutweed. Ground Elder. Bishop's Weed,Other,Aegopodium podagraria,4-11,3,2,1
Californian Buckeye. California Horsechestnut,Nuts,Aesculus californica,6-10,3,1,
Chinese Horse Chestnut,Nuts,Aesculus chinensis,3-7,3,1,
Sweet Buckeye. Yellow buckeye,Other,Aesculus flava,3-7,4,0,
Ohio Buckeye. Fetid Buckeye,Other,Aesculus glabra,4-8,2,1,
Horse Chestnut. European Horsechestnut. Common Horsechestnut,Nuts,Aesculus hippocastanum,4-8,3,4,3
Indian Horse Chestnut,Nuts,Aesculus indica,6-9,3,1,
Bottlebrush buckeye,Other,Aesculus parviflora,6-9,2,1,
Red Buckeye,Other,Aesculus pavia,5-9,2,1,
Horse chestnut,Nuts,Aesculus spp,6-9,4,4,4
Japanese Horse Chestnut,Nuts,Aesculus turbinata,3-8,2,0,
Red Horse Chestnut. Ruby Red Horsechestnut,Nuts,Aesculus x carnea,5-9,2,1,
Anise Hyssop. Blue giant hyssop,Herbs,Agastache foeniculum,5-9,5,1,3
Mexican Giant Hyssop,Other,Agastache mexicana,4-8,3,0,2
