Name6,STATECOUNTRY6,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
abelia,FL-NC,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,
abelia x grandiflora,FL-NC,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,
abelmoschus,CT-DC-FL-HI-IL-KY-LA-MD-MI-MS-NC-SC-VA-PR-VI,,,,,,,CT,,DC,FL,,HI,,IL,,,,KY,LA,,MD,,MI,,MS,,,,,,,,,NC,,,,,,,SC,,,,,,VA,,,,
abelmoschus esculentus,CT-DC-FL-IL-KY-LA-MD-MI-MS-NC-SC-VA-PR-VI,,,,,,,CT,,DC,FL,,,,IL,,,,KY,LA,,MD,,MI,,MS,,,,,,,,,NC,,,,,,,SC,,,,,,VA,,,,
abelmoschus moschatus,HI-PR,,,,,,,,,,,,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abies,AK-AZ-CA-CO-CT-GA-ID-IN-IA-ME-MD-MA-MI-MN-MT-NV-NH-NM-NY-NC-OH-OR-PA-RI-TN-UT-VT-VA-WA-WV-WI-WY-AB-BC-LB-MB-NB-NF-NT-NS-NU-ON-PE-QC-SK-YT-FRASPM,,AK,AZ,,CA,CO,CT,,,,GA,,ID,,IN,IA,,,,ME,MD,MA,MI,MN,,,MT,,NV,NH,,NM,NY,NC,,OH,,OR,PA,RI,,,TN,,UT,VT,VA,WA,WV,WI,WY
abies alba,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,
abies amabilis,AK-CA-OR-WA-BC,,AK,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,WA,,,
abies balsamea,CT-IN-IA-ME-MD-MA-MI-MN-NH-NY-OH-PA-RI-VT-VA-WV-WI-AB-LB-MB-NB-NF-NS-NU-ON-PE-QC-SK-FRASPM,,,,,,,CT,,,,,,,,IN,IA,,,,ME,MD,MA,MI,MN,,,,,,NH,,,NY,,,OH,,,PA,RI,,,,,,VT,VA,,WV,WI,
abies balsamea var. balsamea,CT-IN-IA-ME-MD-MA-MI-MN-NH-NY-OH-PA-RI-VT-VA-WV-WI-AB-LB-MB-NB-NF-NS-NU-ON-PE-QC-SK-FRASPM,,,,,,,CT,,,,,,,,IN,IA,,,,ME,MD,MA,MI,MN,,,,,,NH,,,NY,,,OH,,,PA,RI,,,,,,VT,VA,,WV,WI,
abies balsamea var. phanerolepis,ME-NH-VT-VA-WV-NB-NF-NS-ON-PE-QC,,,,,,,,,,,,,,,,,,,,ME,,,,,,,,,,NH,,,,,,,,,,,,,,,,VT,VA,,WV,,
abies bracteata,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abies concolor,AZ-CA-CO-ID-ME-MA-NV-NM-OR-UT-WY,,,AZ,,CA,CO,,,,,,,ID,,,,,,,ME,,MA,,,,,,,NV,,,NM,,,,,,OR,,,,,,,UT,,,,,,WY
abies concolor var. concolor,AZ-CO-ID-ME-MA-NV-NM-OR-UT-WY,,,AZ,,,CO,,,,,,,ID,,,,,,,ME,,MA,,,,,,,NV,,,NM,,,,,,OR,,,,,,,UT,,,,,,WY
abies concolor var. lowiana,CA-NV-OR,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,,,,,,,OR,,,,,,,,,,,,,
abies fraseri,GA-NC-TN-VA,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,TN,,,,VA,,,,
abies grandis,CA-ID-MT-OR-WA-BC,,,,,CA,,,,,,,,ID,,,,,,,,,,,,,,MT,,,,,,,,,,,OR,,,,,,,,,,WA,,,
abies homolepis,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY,,,,,,,,,,,,,,,,,,
abies lasiocarpa,AK-AZ-CA-CO-ID-MT-NV-NM-OR-UT-WA-WY-AB-BC-NT-YT,,AK,AZ,,CA,CO,,,,,,,ID,,,,,,,,,,,,,,MT,,NV,,,NM,,,,,,OR,,,,,,,UT,,,WA,,,WY
abies lasiocarpa var. arizonica,AZ-CO-NM,,,AZ,,,CO,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,,,,,
abies lasiocarpa var. lasiocarpa,AK-AZ-CA-CO-ID-MT-NV-NM-OR-UT-WA-WY-AB-BC-NT-YT,,AK,AZ,,CA,CO,,,,,,,ID,,,,,,,,,,,,,,MT,,NV,,,NM,,,,,,OR,,,,,,,UT,,,WA,,,WY
abies magnifica,CA-NV-NY-OR,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,NV,,,,NY,,,,,OR,,,,,,,,,,,,,
abies procera,CA-OR-WA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,WA,,,
abies shastensis,CA-OR,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,,,,
abildgaardia,FL-PR-VI,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abildgaardia ovata,FL-PR-VI,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia,AZ-CA-CO-ID-KS-MT-NE-NV-NM-ND-OK-OR-SD-TX-UT-WA-WY-BC,,,AZ,,CA,CO,,,,,,,ID,,,,KS,,,,,,,,,,MT,NE,NV,,,NM,,,ND,,OK,OR,,,,SD,,TX,UT,,,WA,,,WY
abronia alpina,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia ameliae,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,,,,,,,
abronia ammophila,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WY
abronia angustifolia,AZ-NM-TX,,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
abronia argillosa,CO-UT,,,,,,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UT,,,,,,
abronia bigelovii,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,,,,,
abronia carletonii,CO-NM-TX,,,,,,CO,,,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,TX,,,,,,,
abronia elliptica,AZ-CO-NV-NM-UT-WY,,,AZ,,,CO,,,,,,,,,,,,,,,,,,,,,,,NV,,,NM,,,,,,,,,,,,,UT,,,,,,WY
abronia fragrans,AZ-CO-KS-MT-NE-NM-ND-OK-SD-TX-UT-WA-WY,,,AZ,,,CO,,,,,,,,,,,KS,,,,,,,,,,MT,NE,,,,NM,,,ND,,OK,,,,,SD,,TX,UT,,,WA,,,WY
abronia gracilis,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia insularis,CA,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abronia latifolia,CA-OR-WA-BC,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,,,,,,,,,WA,,,
